Word,Part,Word_TW,Sentence,KK,Sentence_TW
like,v.;prep.,喜歡；像,I like this park. It is big and beautiful.,[laɪk],我喜歡這個公園。它是大又美麗的。
sport,n.,運動,Terry plays sports in his free time.,[sport],特里在業餘時間參加運動。
much,adj.;pron.;adv.,多（的）,Hurry up! We don't have much time.,[mʌtʃ],趕快！我們沒有太多時間。
team,n.,隊；組,Frank is on the school baseball team.,[tim],弗蘭克在學校棒球隊中。
practice,v.;n.,練習,Jack practices basketball after school every day.,[ˋpræktɪs],傑克每天放學後練習籃球。
every,adj.,每一,I wash my book bag every six months.,[ˋɛvrɪ],我每六個月洗一次書包。
then,adv.,那麼,A: I don't watch TV. B: Really? Then what do you do in your free time?,[ðɛn],答：我不看電視。B：真的嗎？那你在空閒時間做什麼？
swim,v.,游泳,That bear is swimming.,[swɪm],那隻熊在游泳。
join,v.,參加,Can I please join your basketball team?,[dʒɔɪn],我可以加入您的籃球隊嗎？
eye,n.,眼睛,Camila has beautiful brown eyes.,[aɪ],卡米拉有美麗的棕色眼睛。
hair,n.,頭髮,I like your hair color.,[hɛr],我喜歡你的頭髮顏色。
know,v.,知道；認識,I know Viola Huang? She is my cousin.,[no],我認識黃色黃嗎？她是我表妹。
hundred,n.,百,There are nine hundred students in my school.,[ˋhʌndrəd],我學校有900名學生。
centimeter,n.,公分,The ruler is fifteen centimeters long.,[ˋsɛntə͵mitɚ],統治者長15厘米。
You can say that again!,,一點也沒錯,A: That band is really popular in the USA. B: You can say that again!,[ju kæn se ðæt əˋgɛn],答：該樂隊在美國真的很受歡迎。B：您可以再說一遍！
guitar,n.,吉他,My sister practices the guitar in her room.,[gɪˋtɑr],我姐姐在她的房間裡練習吉他。
piano,n.,鋼琴,Many students in the class can play the piano.,[pɪˋæno],班上的許多學生可以彈鋼琴。
fly a kite,,放風箏,The boy is flying a kite.,[flaɪ ə e kaɪt],這個男孩正在放風箏。
paint,v.,畫圖；油漆,I can paint the walls.,[pent],我可以畫牆壁。
make a cake,,做蛋糕,We can make a cake for Sue's birthday.,[mek ə e kek],我們可以為甦的生日做蛋糕。
nose,n.,鼻子,Pinocchio's nose is long and thin.,[noz],皮諾奇奧的鼻子長而稀薄。
leg,n.,腿,My legs are 90 centimeters long.,[lɛg],我的腿長90厘米。
large,adj.,大的,This house is large for my family.,[lɑrdʒ],這房子對我的家人來說很大。
ear,n.,耳朵,The dog's ears are very big.,[ɪr],狗的耳朵很大。
mouth,n.,嘴巴,Don't talk with your mouth full.,[maʊθ],不要用嘴巴說話。
thick,adj.,厚的,Harry has many thick books.,[θɪk],哈利有很多厚書。
lip,n.,嘴唇,Dogs' lips are black.,[lɪp],狗的嘴唇是黑色的。
strong,adj.,強壯的,These bugs are small but strong.,[strɔŋ],這些蟲子很小，但很強。
arm,n.,手臂,Those monkeys have really long arms.,[ɑrm],那些猴子的手臂真的很長。
height,n.,身高；高度,The doghouse is 50 centimeters in height.,[haɪt],狗屋高50厘米。
player,n.,選手；球員,That handsome man over there is Zoe's favorite baseball player.,[ˋpleɚ],那邊那個英俊的男人是佐伊最喜歡的棒球運動員。
the USA,n.,美國,The girl band comes from the USA.,[ðə r],女樂隊來自美國。
body,n.,身體,He has a strong body.,[ˋbɑdɪ],他的身體很強。
enough,adj.;adv.;pron.,足夠（的）,There are not enough markers for the students.,[əˋnʌf],學生沒有足夠的標記。
put one's all,,盡全力,Jeremy puts his all into every game.,[pʊt wʌns ɔl],傑里米（Jeremy）將自己的全部投入到每場比賽中。
into,prep.,到…裡面,Please put your pencils into the pencil case.,[ˋɪntu],請把鉛筆放入鉛筆盒中。
a lot of,,很多的,Grandma cooks a lot of food for us on Thanksgiving every year.,[ə e lɑt ɑv],奶奶每年在感恩節上為我們廚師做很多食物。
different,adj.,不同的,Vincent is very different from his brother.,[ˋdɪfərənt],文森特與他的兄弟大不相同。
top,adj.,頂尖的,My brothers both go to top schools.,[tɑp],我的兄弟們都去頂級學校。
on the other hand,,另一方面,"Adam is very good at basketball. On the other hand, he's new to baseball.",[ɑn ðə ˋʌðɚ hænd],亞當擅長籃球。另一方面，他是棒球的新手。
make up for,,彌補,"For a baseball player, he's not very strong, but he makes up for it with a lot of practice.",[mek ʌp fɔr],對於棒球運動員來說，他不是很強壯，但是他通過很多練習來彌補這一點。
stand out,,突出,The black picture on the orange wall really stands out.,[stænd aʊt],橙色牆上的黑色圖片確實很突出。
