Word,Part,Word_TW,Sentence,Sentence_TW,KK
relative,n.,親戚,A: Are they your relatives? B: Yes. That's my grandpa and my aunt.,答：他們是你的親戚嗎？B：是的。那是我的爺爺和我的姨媽。,[ˋrɛlətɪv]
meal,n.,餐,My family always has a big meal on Christmas Eve.,我的家人在聖誕節前夕總是吃大餐。,[mil]
tonight,n.;adv.,今晚,"A: Let's go to the baseball game tonight. B: Sorry, but I have piano class at 8 today.",答：讓我們今晚去參加棒球比賽。B：對不起，但是我今天有鋼琴課。,[təˋnaɪt]
plate,n.,盤子,Please be careful. This is my mom's favorite plate.,請小心。這是我媽媽最喜歡的盤子。,[plet]
borrow,v.,借（入）,Sabrina is borrowing an umbrella from her friend.,薩布麗娜（Sabrina）正在從她的朋友那裡借用雨傘。,[ˋbɑro]
need,v.;n.,需要；需求,A: How many apples do you need? B: Six is enough. Thanks.,答：您需要幾個蘋果？B：六個就足夠了。謝謝。,[nid]
flour,n.,麵粉,There are three bags of flour on the table.,桌子上有三袋麵粉。,[flaʊr]
sugar,n.,糖,A: How much is a bag of sugar? B: It's NT$45.,答：一袋糖多少錢？B：NT $ 45。,[ˋʃʊgɚ]
salt,n.,鹽,Do not eat too much salt. It is not good for you.,不要吃太多鹽。這對您不利。,[sɔlt]
a little,-,一點點,"A: Do you have any milk? I only need a little. B: No, I don't have any.",答：你有牛奶嗎？我只需要一點。B：不，我沒有。,[ə  e ˋlɪt!]
else,adv.,其他,"Joanne is not happy, but everyone else is.",喬安妮不快樂，但其他所有人都很高興。,[ɛls]
lend,v.,借（出）,A: Can you lend these new books to me? B: Sure.,答：您能把這些新書借給我嗎？B：當然。,[lɛnd]
What's up?,-,怎麼了？,A: What's up? B: I'm hungry. Do you have some snacks?,答：怎麼了？B：我餓了。你有一些小吃嗎？,[hwɑts ʌp]
Come on in.,-,快請進。,A: Your house is beautiful. B: Thanks. Come on in.,答：你的房子很漂亮。B：謝謝。進來。,[kʌm ɑn ɪn]
all right,-,好吧；好的,A: I don't have any eggs. Can you give me some? B: All right. Here you go.,答：我沒有雞蛋。你能給我一些嗎？B：好的。幹得好。,[ɔl raɪt]
bottle,n.,瓶子,There is a bottle of juice on the sofa. Is it your juice?,沙發上有一瓶果汁。是你的果汁嗎？,[ˋbɑt!]
water,n.,水,"A: How may I help you? B: Can I have some water, please?",答：我該如何幫助您？B：我可以喝水嗎？,[ˋwɔtɚ]
glass,n.,玻璃杯；玻璃,A: What is that? B: That's a glass of milk shake.,答：那是什麼？B：那是一杯奶昔。,[glæs]
candy,n.,糖果,Is there any candy in the box?,盒子裡有糖果嗎？,[ˋkændɪ]
popcorn,n.,爆米花,I never eat popcorn during a movie.,電影中我從不吃爆米花。,[ˋpɑp͵kɔrn]
cup,n.,杯,A: I am so tired. B: A cup of coffee can help.,答：我很累。B：一杯咖啡可以提供幫助。,[kʌp]
bowl,n.,碗,She eats a bowl of fruit every morning.,她每天早晨吃一碗水果。,[bol]
fruit salad,n.,水果沙拉,How about a plate of fruit salad for breakfast?,一盤水果沙拉吃早餐怎麼樣？,[frut ˋsæləd]
pizza,n.,披薩,These five pizzas are for Andy's party.,這五個披薩是為了安迪的聚會。,[ˋpitsə]
milkshake,n.,奶昔,I'm making some milk shake. Do you want some?,我正在做一些奶昔。你想要一些？,[͵mɪlkˋʃek]
can,n.,罐子,The can of juice is bad. Don't drink it.,果汁罐不好。不要喝。,[kæn]
kid,n.,小孩,"A: Is this your kid? He's cute. B: Yes, he is my son.",答：這是你的孩子嗎？他很可愛。B：是的，他是我的兒子。,[kɪd]
easy,adj.,容易的,Life is not easy for many people.,對於許多人來說，生活並不容易。,[ˋizɪ]
snack,n.,點心,I'm hungry. I want some snacks.,我餓了。我想要一些小吃。,[snæk]
fire,n.,火,It's Thanksgiving today. Pam is roasting turkey legs over the fire now.,今天是感恩節。帕姆現在正在大火上烤火雞腿。,[faɪr]
last,adv.;adj.,最後（的）,"This is our last bottle of water, guys.",伙計們，這是我們的最後一瓶水。,[læst]
another,adj.;pron.,另一（的）,Can I have another cup of green tea? It's so good.,我可以再喝一杯綠茶嗎？它是那麼好。,[əˋnʌðɚ]
yummy,adj.,好吃的,These marshmallows are yummy. Where can I get them?,這些棉花糖很好吃。我在哪裡可以得到它們？,[ˋjʌmɪ]
enjoy,v.,享受；喜愛,A: Don't be nervous. Enjoy your time! B: Thanks.,答：不要緊張。玩得開心！B：謝謝。,[ɪnˋdʒɔɪ]
short for...,-,…的簡稱,Tim is short for Timothy.,蒂姆（Tim）是蒂莫西（Timothy）的縮寫。,[ʃɔrt fɔr]
place,v.,放置,Place your hand on my hand. Let's dance together.,將您的手放在我的手上。讓我們一起跳舞。,[ples]
over,prep.,在…之上,A: The man is walking over the fire. B: How can he do that?,答：那個男人在大火上行走。B：他怎麼做？,[ˋovɚ]
top,n.,頂部,The chocolate cookie is yummy. There's a marshmallow on top.,巧克力餅乾很好吃。頂部有棉花糖。,[tɑp]
get,v.,得到,We can get some food over there.,我們可以在那兒得到一些食物。,[gɛt]
